,Unnamed: 0,estimate_name,study_name,source_name,publication_date,source_type,estimate_grade,study_type,country,state,city,study_inclusion_criteria,study_exclusion_criteria,sampling_start_date,sampling_end_date,population_group,sex,age,age_min,age_max,subgroup_var,subgroup_specific_category,denominator_value,serum_pos_prevalence,seroprev_95_ci_lower,seroprev_95_ci_upper,dashboard_primary_estimate,test_adj,pop_adj,clustering_adjustment,academic_primary_estimate,sampling_method,test_name,test_manufacturer,test_type,specimen_type,isotypes,antibody_target,test_validation,sensitivity,specificity,overall_risk_of_bias,jbi_1,jbi_2,jbi_3,jbi_4,jbi_5,jbi_6,jbi_7,jbi_8,jbi_9,first_author,lead_institution,is_unity_aligned,url,date_created,last_modified_time,data_quality_status,zotero_citation_key,alpha_3_code,low_vaccination
5643,5643,220818_Ecuador_UniversidadDeLasAmericas_Overall,220818_Ecuador_UniversidadDeLasAmericas,Sustained COVID-19 community transmission and potential super spreading events at neglected afro-ecuadorian communities assessed by massive RT-qPCR and serological testing of community dwelling population.,2022-08-18,Journal Article (Peer-Reviewed),National,Retrospective cohort,Ecuador,"Atacames, Quininde, Esmeraldas, Muisne, Río Verde",,"All samples were taken from community-dwelling asymptomatic or mild symptomatic individuals at the communities visited from 12th to 19th October 2020 in five out of seven cantons of Esmeraldas province: Esmeraldas, Atacames, Muisne, and Quinindé y Rio Verde",Two cantons were not included in the study (San Lorenzo and Eloy Alfaro),2020-10-12,2020-10-19,Blood donors,All,Multiple groups,0.0,,Primary Estimate,,1250,0.1168,0.0998,0.1362,True,,,,True,Convenience,2019-nCoV IgG Rapid Test,Innovita Biological Technology Co. Ltd,LFIA,Whole Blood,IgG,,Validated by independent authors/third party/non-developers,0.795,1.0,1,,No,Yes,Yes,,Unclear,Yes,No,,Alexander Paolo Vallejo-Janeta,Universidad de Las Americas,Unity-Aligned,https://dx.doi.org/10.3389/fmed.2022.933260,2022-09-12,2022-09-23,Unverified,vallejo-janeta_sustained_2022,ECU,True
5685,5685,220810_Egypt_AlexandriaUniversity_TestAdjusted,220810_Egypt_AlexandriaUniversity,A pre-vaccine exploratory survey of SARS-CoV-2 humoral immunity among Egyptian general population.,2022-08-10,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Egypt,,,"""All ages were included regardless of their history of
previous COVID-19 infection and there were no exclu-
sion criteria""",,2021-01-15,2021-06-15,Household and community samples,All,Multiple groups,,,Primary Estimate,,2360,0.4629999999999999,0.442,0.483,True,True,,,True,Convenience,Anti-SARS-CoV-2 QuantiVac ELISA ,EUROIMMUN,ELISA,Serum,IgG,Spike,,0.932,0.998,1,,No,Yes,Yes,,Yes,Yes,Yes,,Engy Mohamed El‑Ghitany,Alexandria University,Unity-Aligned,https://dx.doi.org/10.1186/s41182-022-00448-x,2022-08-25,2022-08-25,Unverified,el-ghitany_pre-vaccine_2022,EGY,True
6067,6067,210521_France_SantePubliqueFrance_May3_Overall_PopAdj_TestAdj,210521_France_SantePubliqueFrance_May3,Prevalence of SARS-CoV-2 antibodies in France: results from nationwide serological surveillance.,2021-05-21,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,France,"Guadeloupe, Martinique, French Guiana, La Reunion, Île-de-France, Centre-Val-de-Loire,  Bourgogne-Franche Comté, Normandie, Hauts-de-France, Grand-Est, Pays de la Loire, Bretagne, Nouvelle-Aquitaine, Occitanie, Auvergne-Rhône-Alpes, Corse, Provence-Alpes-Côte d'Azur",,"Residual sera included specimens from individuals of all ages undergoing routine diagnosis and monitoring in all medical specialties (biochemistry, immunology, allergy...)",Residual sera from individuals undergoing monitoring and diagnosis in infectious diseases and obstetrics.,2020-05-11,2020-05-17,Residual sera,All,Multiple groups,0.0,,Primary Estimate,,3592,0.0493,0.0402,0.0589,True,True,True,,,Stratified probability,"Author designed (Neutralization Assay),Author designed (ELISA) -Spike,Author designed (ELISA) - Nucleocapsid",,Multiple Types,Serum,"['IgG', 'Neutralizing']","['Nucleocapsid(N-protein)', 'Spike']",Validated by developers,1.0,1.0,2,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Stephane Le Vu,Santé publique France,Unity-Aligned,https://dx.doi.org/10.1038/s41467-021-23233-6,2021-06-07,2022-07-16,Verified,le_vu_prevalence_2021,FRA,True
6365,6365,201127_Germany_IfoInstitue_overall_PopAdj,201127_Germany_IfoInstitue,Die Deutschen und Corona Schlussbericht der BMG-„Corona-BUND-Studie“,2020-11-27,Institutional Report,National,Prospective cohort,Germany,,,,,2020-10-26,2020-11-18,Household and community samples,All,Multiple groups,18.0,,Primary Estimate,,9929,0.011,0.0092,0.0133,True,,True,,True,Convenience,Elecsys® Anti‐SARS‐CoV‐2 (N),Roche Diagnostics,CLIA,Serum,TotalAntibody,Nucleocapsid(N-protein),Validated by manufacturers,,0.998,1,Yes,No,Yes,No,Unclear,Yes,Yes,Yes,Unclear,Clemens Fuest,ifo Institute,Unity-Aligned,https://www.ifo.de/en/publikationen/2020/monograph-authorship/die-deutschen-und-corona,2021-03-21,2023-03-22,Verified,fuest_deutschen_2020,DEU,True
6940,6940,201217_Honduras_ColegioMédico_OverallGenpop,201217_Honduras_ColegioMédico,"Seroepidemiological surveillance of SARS-CoV-2 circulation in 41 municipalities in Honduras wth no reports of active cases, COVID-19, June 16-23, 2020",2020-12-17,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Honduras,,,"Inclusion:
1. Person over 5 years old
2. Person whose birthday was closest to the day of the test and who agreed to participate in the study.
3. In the event that the first did not accept, the next person whose birthday was closest to the day of the test was chosen (replacement technique).

","Exclusion :
1. Person who refused to give assent or informed consent
2. Person with contraindication for capillary puncture (edema, insufficient perfusion, coagulation disorders)
3. Children under 5 years of age due to the difficulty in taking a blood sample and receiving consen",2020-06-16,2020-06-23,Household and community samples,All,Multiple groups,5.0,,Primary Estimate,,792,0.062,,,True,,,,True,Stratified probability,Not reported/ Unable to specify,,LFIA,Whole Blood,"['IgG', 'IgM']",,Validated by manufacturers,0.934,0.977,1,Yes,Yes,Yes,Yes,Yes,Unclear,Yes,Yes,Unclear,Mario Rene Mejia Nunez ,Colegio Médico,Unity-Aligned,https://revistas.ucr.ac.cr/index.php/psm/article/view/43261/46175,2021-04-16,2022-07-16,Verified,rene_mejia_nunez_vista_2020,HND,True
6965,6965,200717_Hungary_SemmelweisUniversity__GenPop_PopAdj,200717_Hungary_SemmelweisUniversity,"Novel coronavirus epidemic in the Hungarian population, a cross-sectional nationwide survey to support the exit policy in Hungary",2020-07-17,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Hungary,,,"The target population included individuals aged
14 years or older, living in private households in Hungary. Note* ""For serological testing, blood samples were obtained from all participants at the age of 18 or older; under 18 years of age, blood testing was optional""",,2020-05-01,2020-05-16,Household and community samples,All,Multiple groups,14.0,,Primary Estimate,,10474,0.0068,0.005,0.0086,True,,True,,True,Stratified probability,Abbott Architect SARS-CoV-2 IgG,Abbott Laboratories,CLIA,,IgG,Nucleocapsid(N-protein),Validated by independent authors/third party/non-developers,,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Bela Merkely,Semmelweis University,Unity-Aligned,https://dx.doi.org/10.1007/s11357-020-00226-9,2020-08-01,2023-03-22,Verified,merkely_novel_2020-1,HUN,True
7431,7431,210701_India_IndianCouncilOfMedicalResearch_GenPop_TestPopAdj,210701_India_IndianCouncilOfMedicalResearch_GenPop,"SARS-CoV-2 seroprevalence among the general population and healthcare workers in India, December 2020-January 2021",2021-07-01,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,India,,,"All household members aged 10 years and above who were
permanent resident of the area were enumerated and consenting individuals present at the time of visit of survey team were included in the survey.",No additional visits were made to include households which were locked or household members who were not present at the time of the first visit.,2020-12-18,2021-01-06,Household and community samples,All,Multiple groups,10.0,,Primary Estimate,,28598,0.241,0.23,0.253,True,True,True,,,Stratified probability,"Atellica® IM SARS-CoV-2 Total (COV2T),Abbott Architect SARS-CoV-2 IgG","Siemens,Abbott Laboratories",Multiple Types,Serum,IgG,"['Nucleocapsid(N-protein)', 'Spike']",Validated by manufacturers,,,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Manoj V Murhekar,Indian Council of Medical Research,Unity-Aligned,http://dx.doi.org/10.1016/j.ijid.2021.05.040,2021-09-13,2022-07-16,Verified,murhekar_sars-cov-2_2021,IND,True
8397,8397,210421_Israel_MinistryofHealth_genpop_primary,210421_Israel_MinistryofHealth,Nationwide seroprevalence of antibodies against SARS-CoV-2 in Israel,2021-04-21,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Israel,,,The study population included insured individuals who arrived at the HMOs to undergo a blood test for any reason. ,"Excluding participants with missing age and/or sex data, invalid test results",2020-06-28,2020-09-14,Household and community samples,All,Multiple groups,,,Primary Estimate,,54357,0.046,0.044,0.048,True,,True,,True,Convenience,"Abbott Architect SARS-CoV-2 IgG,Liaison SARS-CoV-2 S1/S2 IgG","Abbott Laboratories,DiaSorin",ELISA,Serum,IgG,Spike,Multiple tests with diff validations or values derived from each type,,,1,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Shay Reicher,Ministry of Health,Unity-Aligned,https://dx.doi.org/10.1007/s10654-021-00749-1,2021-05-20,2022-07-16,Verified,reicher_nationwide_2021,ISR,True
8506,8506,200803_Italy_ItalianMinistryOfHealth_Overall,200803_Italy_ItalianMinistryOfHealth,FIRST RESULTS OF THE SEROPREVALENCE SURVEY ON SARS-CoV-2,2020-08-03,Institutional Report,National,Cross-sectional survey ,Italy,"Abruzzo, Basilicata, Calabria, Campania, Emilia Romagna, Friuli-Venezia Giulia, Lazio, Liguria, Lombardy, Marche, Molise, Piemonte, Trentino-Alto Adige, Puglia, Sardegna, Sicily, Tuscany, Umbria, Valle D'Aosta, Veneto",,"The people selected were also asked to respond to a specific questionnaire  prepared by Istat, in agreement with the Technical Scientific Committee.",,2020-05-25,2020-07-15,Household and community samples,All,Multiple groups,,,Primary Estimate,,64660,0.025,,,True,,,,True,Stratified non-probability,Abbott Architect SARS-CoV-2 IgG,Abbott Laboratories,CLIA,Serum,IgG,,,,,1,Yes,No,Yes,No,Unclear,Yes,Yes,Yes,Unclear,Instituto Nazionale di Statistica,Italian Ministry of Health,Unity-Aligned,https://www.istat.it/it/files//2020/08/ReportPrimiRisultatiIndagineSiero.pdf,2020-10-04,2023-03-22,Verified,instituto_nazionale_di_statistica_primi_2020,ITA,True
9011,9011,210120_Japan_ResearchInstituteOfTuberculosis_GenPop,210120_Japan_ResearchInstituteOfTuberculosis,"Prevalence of SARS-CoV-2-Specific Antibodies, Japan, June 2020",2021-01-20,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Japan,,"Tokyo, Osaka, Miyagi","We conducted a seroprevalence survey of SARS- CoV-2 infection in 3 prefectures of Japan: Tokyo, Osaka, and Miyagi. Eligible participants were persons >20 years of age living in Japan.",The Tokyo and Miyagi prefectures excluded otherwise eligible participants with temperatures ≥37.5°C. ,2020-06-01,2020-06-07,Household and community samples,All,Multiple groups,20.0,,Primary Estimate,,7950,0.001,0.0004,0.002,True,,,,True,Stratified probability,"Elecsys® Anti‐SARS‐CoV‐2 (N),Abbott Architect SARS-CoV-2 IgG","Roche Diagnostics,Abbott Laboratories",CLIA,Serum,"['IgG', 'TotalAntibody']",Nucleocapsid(N-protein),Validated by manufacturers,,,1,Yes,Yes,Yes,Yes,Unclear,Yes,Yes,No,No,Takashi Yoshiyama,Government of Japan,Unity-Aligned,https://dx.doi.org/10.3201/eid2702.204088,2021-02-28,2022-07-16,Verified,yoshiyama_prevalence_2021,JPN,True
9256,9256,210710_Jordan_WorldHealthOrganization_January2021,210710_Jordan_WorldHealthOrganization_thirdRoundJanuary2021,A three-phase population based sero-epidemiological study: Assessing the trend in prevalence of SARS-CoV-2 during COVID-19 pandemic in Jordan,2021-07-10,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Jordan,,,"All persons living in the household were invited to participate in the study, including children to ensure the calculation of age-specific attack rates. Multiple time periods of field visits were conducted to ensure the inclusion of working individuals.","Exclusion criteria included the selection of household with less than 2  members willing to  participate in  the  study, refusal to  provide informed consent and/or contraindication to venipuncture, residential institutions such as boarding schools, dormitories, hostels and prisons were excluded. Suspected, confirmed acute and prior COVID-19 infec-tion were not excluded from participation in the study. ",2020-12-27,2021-01-06,Household and community samples,All,Multiple groups,,,Primary Estimate,,5044,0.342,0.3379999999999999,0.346,True,,,,True,Stratified probability,Wantai SARS-CoV-2 IgM ELISA,Beijing Wantai Biological,ELISA,Serum,"['IgG', 'IgM']",,,,,1,Yes,Yes,Yes,No,Unclear,No,Yes,No,Yes,Saverio Bellizzi,World Health Organization,Unity-Aligned,http://dx.doi.org/10.1016/j.onehlt.2021.100292,2021-07-29,2022-07-16,Verified,bellizziThreephasePopulationBased2021,JOR,True
9274,9274,220217_Kazakhstan_NazarbayevUniversitySchoolofMedicine_Overall_IgG,220217_Kazakhstan_NazarbayevUniversitySchoolofMedicine,Seropositivity of SARS-CoV-2 in the Population of Kazakhstan: A Nationwide Laboratory-Based Surveillance,2022-02-17,Journal Article (Peer-Reviewed),National,Repeated cross-sectional study,Kazakhstan,,,"residual sera from “IN VITRO” laboratories, the largest private network of government-licensed laboratories in Kazakhstan (“IN VITRO” laboratories are available in all administrative units of Kazakhstan, including rural areas)",,2020-07-16,2021-07-07,Residual sera,All,Multiple groups,,,Primary Estimate,,85346,0.63,0.627,0.633,True,,,,True,Sequential,SARS- CoV-2-IgG-EIA-BEST and SARS-CoV-2- IgM-EIA-BEST ,Vector BEST,ELISA,Serum,IgG,Spike,Validated by independent authors/third party/non-developers,0.9,1.0,0,No,No,Yes,No,No,Unclear,Yes,Yes,,Yuliya Semenova,Nazarbayev University School of Medicine,Unity-Aligned,https://dx.doi.org/10.3390/ijerph19042263,2022-02-28,2022-07-16,Unverified,semenova_seropositivity_2022,KAZ,True
9369,9369,210902_Kenya_KEMRI-WellcomeTrustResearchProgramme_OverallPopAndTestAdjusted,210902_Kenya_KEMRI-WellcomeTrustResearchProgramme,"Prevalence of SARS-CoV-2 Antibodies From a National Serosurveillance of Kenyan Blood Donors, January-March 2021.",2021-09-02,Journal Article (Peer-Reviewed),National,Cross-sectional survey ,Kenya,,,Plasma samples with complete donor demographic data and sufficient volume collected from all 6 regional transfusion centers were included and assayed for anti–spike IgG using an enzymelinked immunosorbent assay.,"Forty-four samples were excluded because of missing information, age-ineligible donors, or collection date before 2021.",2021-01-03,2021-03-15,Blood donors,All,Multiple groups,16.0,64.0,Primary Estimate,Population and Test adjusted,3018,0.485,0.452,0.521,True,True,True,,,Convenience,Author designed (ELISA) -Spike,,ELISA,Plasma,IgG,Spike,Validated by independent authors/third party/non-developers,0.927,0.99,1,No,No,Yes,Yes,No,Unclear,Yes,Yes,,Sophie Uyoga,KEMRI-Wellcome Trust Research Programme,Unity-Aligned,https://dx.doi.org/10.1001/jama.2021.15265,2021-09-09,2022-07-16,Verified,uyoga_prevalence_2021-1,KEN,True
